,,,,ترانه هاي قديمي,,,,,
,,,,CD 1 (1 - 23),,,,,
,,,,41-4,ناديده رخت,محسن كرامتي,شيدا,شيدا,اصفهان
,,,,42-1,نبود ز رُخت (راه نشين),مرضيه,شيدا,شيدا,شور
,,,,42-2,نبود ز رُخت ,شجريان,شيدا,شيدا,شور
,,,,42-3,نبود ز رُخت ,كرامتي,شيدا,شيدا,نوا
,,,,43-1,نرگس مستي به رويت همچو ماه (نرگس مستي),مرضيه,شيدا,شيدا,ماهور
,,,,43-2,نرگس مستي به رويت همچو ماه,زند وكيل,شيدا,شيدا,ماهور
,,,,شماره,مطلع و نام ترانه,اجرا,آهنگ ساز,ترانه سرا,دستگاه (نغمه)
,,,,43-3,نرگس مستي به رويت همچو ماه,محسن كرامتي,شيدا,شيدا,ماهور
,,,,44-1,هر چه كني بكن مكن (روزگار من),دوامي,شيدا,شيدا,شور
,,,,44-2,هر چه كني بكن مكن,غزال,شيدا,شيدا,شور
,,,,44-3,هر چه كني بكن مكن,رضوي سروستاني,شيدا,شيدا,شور
,,,,44-4,هر چه كني بكن مكن,شجريان,شيدا,شيدا,شور
,,,,44-5,هر چه كني بكن مكن,محسن كرامتي,شيدا,شيدا,شور
,,,,44-6,هر چه كني بكن مكن,مرضيه,شيدا,شيدا,شور
,,,,44-7,هر چه كني بكن مكن,پريسا,شيدا,شيدا,شور
,,,,ترانه هاي عارف قزويني,,,,,
,,,,CD 3 (45 - 56),,,,,
,,,,شماره,مطلع و نام ترانه,اجرا,آهنگ ساز,ترانه سرا,دستگاه (نغمه)
,,,,45-1,از كفم رها، شد قرار دل,مرضيه,عارف,عارف,افشاري
,,,,45-2,از كفم رها، شد قرار دل,سيما مافيها,عارف,عارف,افشاري
,,,,45-3,از كفم رها، شد قرار دل,شجريان,عارف,عارف,افشاري
,,,,45-4,از كفم رها، شد قرار دل,شجريان,عارف,عارف,افشاري
,,,,46-1,از كفم رها، شد قرار دل,سيما مافيها,عارف,عارف,افشاري
,,,,46-2,از كفم رها، شد قرار دل,دوامي,عارف,عارف,افشاري
,,,,46-3,از كفم رها، شد قرار دل,محسن كرامتي,عارف,عارف,افشاري
,,,,47,افتخار همه آفاقي و منظور مني (افتخار آفاق),شهيدي - الهه,عارف,عارف,سه گاه
,,,,48-1,افتخار همه آفاقي و منظور مني,شجريان,عارف,عارف,سه گاه
,,,,48-2,افتخار همه آفاقي و منظور مني,كرامتي,عارف,عارف,سه گاه
,,,,شماره,مطلع و نام ترانه,اجرا,آهنگ ساز,ترانه سرا,دستگاه (نغمه)
,,,,49-1,دل هوس سبزه و صحرا ندارد,سيما بينا,عارف,عارف,ابوعطا
,,,,50-1,دل هوس سبزه و صحرا ندارد,شهرام ناظري,عارف,عارف,ابوعطا
,,,,50-2,دل هوس سبزه و صحرا ندارد,كرامتي,عارف,عارف,ابوعطا
